co,no2,o3,pm10,pm25,predicted aqi,City,Date
2.8652169542887327,2.1,24.1,18.47656723982837,17.0,61.37003114645813,Fort Worth,2021-01-02
4.9,13.0,8.8,25.0,76.0,187.90359224826216,Fresno,2021-01-02
2.3,3.2,7.8,7.0,19.0,66.7392653996418,Hartford,2021-01-02
5.6,7.6465755863285905,23.3,10.0,13.0,53.219838229548145,Honolulu,2021-01-02
2.3,5.3,22.4,18.47656723982837,19.0,65.51045106413233,Houston,2021-01-02
4.3,6.5,11.2,8.0,23.0,75.11101570172173,Indianapolis,2021-01-02
1.9,1.2,14.1,9.0,28.0,86.10372929198161,Jackson,2021-01-02
6.4,3.2,9.0,18.0,40.0,111.1079287045344,Jacksonville,2021-01-02
0.1,11.4,6.5,19.0,37.0,104.09485524323895,Las Vegas,2021-01-02
2.8652169542887327,7.6465755863285905,13.6,18.47656723982837,15.0,56.702502554115085,Little Rock,2021-01-02
6.9,23.2,17.6,25.0,55.0,141.85783421483484,Los Angeles,2021-01-02
2.8652169542887327,7.6465755863285905,29.0680751173709,21.0,71.0,177.66500586078382,Madison,2021-01-02
